,codimap_category,codimap_title,codimap_date,views,comment_numbers
0,캐주얼,톤온톤 코디,21.07.02,"조회 17,320",댓글 50
1,캐주얼,블랙 매니아,21.02.23,"조회 36,357",댓글 47
2,캐주얼,오늘의 코디,22.03.22,"조회 13,427",댓글 44
3,댄디,추천 댄디 룩,21.09.15,"조회 21,623",댓글 32
4,캐주얼,릴랙스 룩,21.02.23,"조회 24,053",댓글 25
5,스트릿,힙하다 힙해,21.02.03,"조회 36,109",댓글 24
6,댄디,데이트 코디,21.12.24,"조회 10,998",댓글 19
7,캐주얼,심플한 코디,21.07.30,"조회 41,376",댓글 18
8,댄디,훈훈 남친 룩,21.03.24,"조회 20,025",댓글 17
9,댄디,서머 데이트 룩,21.07.26,"조회 8,373",댓글 17
10,댄디,남친 룩으로 제격,21.12.24,"조회 10,197",댓글 17
11,캐주얼,지금 입기 좋아,21.08.31,"조회 20,898",댓글 16
12,캐주얼,꾸안꾸 코디,22.11.04,"조회 5,215",댓글 15
13,아메카지,아메리칸 캐주얼,21.12.21,"조회 5,852",댓글 14
14,비즈니스캐주얼,깔끔하게 즐겨,21.11.09,"조회 6,620",댓글 13
15,아메카지,남다른 감각,21.11.17,"조회 5,084",댓글 11
16,캐주얼,편안함의 완성,21.10.04,"조회 20,087",댓글 11
17,캐주얼,편하게 완성,21.07.21,"조회 15,342",댓글 10
18,캐주얼,원 마일 웨어,21.10.08,"조회 17,080",댓글 10
19,비즈니스캐주얼,매력적인 포멀 룩,21.09.17,"조회 11,733",댓글 10
20,캐주얼,레이어드의 매력,21.06.04,"조회 12,792",댓글 9
21,댄디,레이어드의 매력,21.11.23,"조회 10,552",댓글 8
22,캐주얼,잘 고른 재킷,20.10.28,"조회 20,869",댓글 8
23,캐주얼,발랄함 가득!,21.07.05,"조회 3,244",댓글 8
24,비즈니스캐주얼,깔끔한 매력,21.03.08,"조회 14,022",댓글 8
25,댄디,남친 룩의 정석,20.11.04,"조회 16,666",댓글 8
26,시크,시크한 감각,21.08.20,"조회 3,920",댓글 8
27,캐주얼,서머 캠퍼스 룩,22.07.19,"조회 3,357",댓글 8
28,비즈니스캐주얼,손색 없는 단정함,21.11.12,"조회 3,400",댓글 8
29,댄디,훈훈한 스타일,21.12.29,"조회 3,698",댓글 7
30,캐주얼,러블리 캐주얼,20.11.18,"조회 10,839",댓글 7
31,캐주얼,오늘의 무드,21.12.06,"조회 7,075",댓글 7
32,비즈니스캐주얼,단정한 모습,21.11.26,"조회 5,900",댓글 7
33,아메카지,색감에 반해,22.11.02,"조회 7,526",댓글 7
34,아메카지,센스 있는 아메카지,22.10.26,"조회 8,456",댓글 7
35,캐주얼,캠퍼스 룩,21.07.12,"조회 7,472",댓글 7
36,캐주얼,캐주얼 룩의 정석,20.11.06,"조회 16,440",댓글 7
37,아메카지,아메카지의 정석,22.11.21,"조회 9,162",댓글 6
38,댄디,레더 스타일링,21.09.28,"조회 8,284",댓글 6
39,비즈니스캐주얼,클래식한 실루엣,21.01.15,"조회 4,416",댓글 6
40,캐주얼,귀여운 프레피 룩,21.06.04,"조회 12,381",댓글 6
41,댄디,데이트하는 날,21.09.07,"조회 17,901",댓글 6
42,스트릿,따라 입고 싶어,21.08.30,"조회 2,288",댓글 6
43,캐주얼,남친 룩 추천,21.06.11,"조회 11,056",댓글 6
44,캐주얼,피크닉 가자!,21.08.20,"조회 2,835",댓글 6
45,아메카지,실패 없는 코디,21.06.11,"조회 8,437",댓글 6
46,아메카지,아메카지 무드,22.11.10,"조회 6,534",댓글 6
47,아메카지,아메카지 무드,22.06.17,"조회 4,903",댓글 6
48,비즈니스캐주얼,깔끔한 연출,21.11.10,"조회 3,735",댓글 6
49,비즈니스캐주얼,완벽한 스타일링,21.09.15,"조회 4,235",댓글 6
50,로맨틱,레트로 스타일링,21.05.17,"조회 2,354",댓글 6
51,비즈니스캐주얼,데이트 룩 완성!,21.02.08,"조회 10,920",댓글 5
52,캐주얼,가볍게 툭!,21.05.31,"조회 3,521",댓글 5
53,캐주얼,레트로 무드,21.03.12,"조회 11,775",댓글 5
54,캐주얼,활동하기 최고,21.09.23,"조회 6,549",댓글 5
55,캐주얼,그린 포인트!,21.05.28,"조회 5,533",댓글 5
56,스트릿,스트라이프 활용법,21.02.19,"조회 2,897",댓글 5
57,캐주얼,캐주얼 룩의 정석,21.03.12,"조회 11,216",댓글 5
58,캐주얼,멋 내는 방법,21.07.02,"조회 6,008",댓글 5
59,캐주얼,편하게 멋 내봐,21.09.08,"조회 11,759",댓글 5
60,캐주얼,디테일 가득!,21.07.02,"조회 4,710",댓글 3
61,아메카지,탐나는 연출,22.01.13,"조회 3,847",댓글 3
62,댄디,디테일의 차이,21.09.24,"조회 7,451",댓글 3
63,캐주얼,블루 캐주얼,21.05.27,"조회 2,738",댓글 3
64,캐주얼,미니멀의 정석,21.01.04,"조회 1,821",댓글 3
65,걸리시,산뜻한 조합,21.06.25,"조회 2,413",댓글 3
66,스트릿,숏 패딩 코디,21.01.05,"조회 1,457",댓글 3
67,캐주얼,시원한 컬러 조합,21.06.03,"조회 1,726",댓글 3
68,캐주얼,가벼운 외출,21.01.05,"조회 1,955",댓글 3
69,캐주얼,끌리는 뒤태,21.07.01,"조회 1,325",댓글 3
70,캐주얼,인생 스웨트셔츠,20.10.27,"조회 6,556",댓글 3
71,댄디,마성의 조합,21.06.09,"조회 1,079",댓글 3
72,캐주얼,원 마일 웨어,21.06.16,"조회 3,157",댓글 3
73,캐주얼,귀여운 포인트,21.01.08,"조회 2,641",댓글 3
74,캐주얼,여름 셔츠 코디,21.06.22,"조회 4,495",댓글 3
75,캐주얼,트렌디한 조합,22.09.27,"조회 3,743",댓글 3
76,캐주얼,빈티지 무드,20.11.02,"조회 6,941",댓글 3
77,댄디,멋짐의 비결,21.07.01,"조회 1,569",댓글 3
78,걸리시,심쿵 포인트,21.06.16,"조회 2,422",댓글 3
79,걸리시,퍼 재킷 연출하기,21.01.05,"조회 1,949",댓글 3
80,로맨틱,분위기 있어 보여!,21.07.12,"조회 1,884",댓글 3
81,걸리시,프레피 룩의 정석,20.11.02,"조회 3,441",댓글 3
82,비즈니스캐주얼,모노 톤 활용법,21.02.18,조회 849,댓글 3
83,캐주얼,남다른 플리스,20.10.28,"조회 2,473",댓글 3
84,스트릿,시크한 매력,21.02.26,"조회 2,149",댓글 3
85,댄디,톤온톤의 멋,21.07.05,"조회 1,231",댓글 3
86,캐주얼,돋보이는 센스,21.07.12,"조회 1,083",댓글 3
87,걸리시,싱그러운 느낌,21.06.01,"조회 1,454",댓글 3
88,아메카지,패턴의 매력,21.06.03,"조회 9,252",댓글 3
89,걸리시,원 컬러 포인트,21.06.01,"조회 1,439",댓글 3
90,스트릿,패턴 활용법,21.05.20,"조회 1,384",댓글 3
91,아메카지,이렇게 입어봐,21.12.22,"조회 3,356",댓글 3
92,스트릿,시선 강탈 패션,21.11.05,"조회 3,440",댓글 3
93,비즈니스캐주얼,지적인 분위기,21.11.09,"조회 3,543",댓글 3
94,비즈니스캐주얼,감각 있는 조합,21.11.01,"조회 2,286",댓글 3
95,캐주얼,블랙 러버,21.05.20,"조회 11,664",댓글 3
96,댄디,데이트에 제격,21.11.30,"조회 2,067",댓글 3
97,댄디,볼수록 매력 있어,21.12.06,"조회 1,432",댓글 3
98,캐주얼,편안한 매치,21.11.19,"조회 5,362",댓글 3
99,캐주얼,누구나 도전 가능,21.12.10,"조회 5,347",댓글 3
100,캐주얼,청량함 가득!,21.05.18,"조회 4,080",댓글 3
101,댄디,탐나는 매치,22.02.24,"조회 7,371",댓글 3
102,캐주얼,캐주얼한 매력,21.12.24,"조회 2,823",댓글 3
103,스트릿,힙 바이브,21.05.20,"조회 1,315",댓글 3
104,캐주얼,캐주얼 무드,22.02.15,"조회 4,485",댓글 3
105,시크,시크함 가득,21.05.14,"조회 1,032",댓글 3
106,아메카지,멋을 아는 룩,22.02.07,"조회 1,634",댓글 3
107,걸리시,사랑스러워,22.01.20,"조회 5,271",댓글 3
108,캐주얼,편하게 즐겨,22.02.18,"조회 11,610",댓글 3
109,캐주얼,간편한 셋업,21.05.20,조회 918,댓글 3
110,캐주얼,니트 포인트!,21.05.25,"조회 1,591",댓글 3
111,캐주얼,한파 대비 룩,20.12.04,"조회 1,903",댓글 3
112,비즈니스캐주얼,포멀 룩 가이드,20.12.04,"조회 4,158",댓글 3
113,스트릿,디테일에 반해,22.05.12,"조회 1,576",댓글 3
114,비즈니스캐주얼,가을 남자,22.10.04,"조회 4,487",댓글 3
115,댄디,데일리 댄디 룩,21.05.25,"조회 3,559",댓글 3
116,스트릿,유니크하게,22.07.27,"조회 1,946",댓글 3
117,스트릿,원 마일 웨어에 빠져,20.10.27,"조회 8,852",댓글 3
118,아메카지,벌룬 핏의 매력,22.10.12,"조회 3,639",댓글 3
119,스트릿,타이다이 코디,21.05.26,"조회 1,434",댓글 3
120,캐주얼,편안한 조합,21.05.04,"조회 19,406",댓글 5
121,캐주얼,센스 있어 보여,21.08.19,"조회 2,128",댓글 5
122,캐주얼,가볍게 툭!,21.05.31,"조회 3,521",댓글 5
123,캐주얼,따라 입어봐,22.10.19,"조회 6,600",댓글 5
124,아메카지,멋있는 실루엣,22.01.28,"조회 5,561",댓글 5
125,캐주얼,데일리 캠퍼스 룩,22.04.01,"조회 4,145",댓글 5
126,캐주얼,트렌디해!,21.12.24,"조회 2,769",댓글 5
127,걸리시,누구나 반해,21.12.24,"조회 4,778",댓글 5
128,캐주얼,캐주얼하게,21.08.18,"조회 6,460",댓글 5
129,캐주얼,모노 톤 스타일링,21.08.09,"조회 9,840",댓글 5
130,캐주얼,레트로 무드,21.03.12,"조회 11,775",댓글 5
131,캐주얼,멋 내는 방법,21.07.02,"조회 6,008",댓글 5
132,걸리시,워너비 스타일,22.10.21,"조회 7,804",댓글 5
133,걸리시,귀여운 매치,21.05.17,"조회 1,954",댓글 5
134,캐주얼,편하게 멋 내봐,21.09.08,"조회 11,759",댓글 5
135,스트릿,힙한 무드,21.08.24,"조회 4,586",댓글 5
136,스트릿,스트릿 무드,21.09.06,"조회 4,506",댓글 5
137,스트릿,서머 스트릿,21.06.10,"조회 2,717",댓글 5
138,걸리시,하이틴 무드,21.07.30,"조회 4,259",댓글 4
139,캐주얼,숏 패딩 활용법,20.11.26,"조회 8,904",댓글 4
140,댄디,멋이란 이런 것,21.09.13,"조회 3,378",댓글 4
141,시크,컬러에 주목!,21.08.19,"조회 1,002",댓글 4
142,캐주얼,꾸안꾸 코디,21.08.20,"조회 6,050",댓글 4
143,캐주얼,스쿨 룩의 정석,21.08.03,"조회 2,432",댓글 4
144,캐주얼,센스 있는 조합,21.07.26,"조회 6,287",댓글 4
145,스트릿,유니크한 매치,21.03.15,"조회 1,681",댓글 4
146,댄디,매력적인 댄디 룩,21.08.02,"조회 3,788",댓글 4
147,캐주얼,캠퍼스 코디 추천,22.04.29,"조회 18,638",댓글 4
148,캐주얼,편하고 멋있게,21.07.14,"조회 10,603",댓글 4
149,댄디,블랙의 멋,21.10.26,"조회 17,430",댓글 4
150,비즈니스캐주얼,트렌디한 출근 룩,21.10.06,"조회 12,282",댓글 4
151,스트릿,시선 집중 베스트,21.02.25,"조회 5,784",댓글 4
152,캐주얼,체크 패턴 활용법,20.10.29,"조회 3,149",댓글 4
153,캐주얼,지금 입기 좋아,22.04.14,"조회 6,231",댓글 4
154,댄디,깔끔한 무드,21.10.01,"조회 9,362",댓글 4
155,비즈니스캐주얼,담백한 실루엣,21.11.04,"조회 3,811",댓글 4
156,캐주얼,캐주얼의 정석,21.01.04,"조회 9,473",댓글 4
157,비즈니스캐주얼,미니멀 감각,22.01.14,"조회 3,090",댓글 4
158,캐주얼,귀여운 포인트,21.06.01,"조회 3,430",댓글 4
159,댄디,깔끔한 레이어드,21.07.16,"조회 13,759",댓글 4
160,아메카지,캐주얼의 정석,21.07.02,"조회 5,414",댓글 4
161,시크,넘볼 수 없는 분위기,21.05.24,"조회 1,706",댓글 4
162,캐주얼,산뜻한 컬러,20.10.27,"조회 15,903",댓글 4
163,걸리시,언제나 귀여워,21.08.20,"조회 3,302",댓글 4
164,캐주얼,티셔츠에 주목!,21.05.18,"조회 4,172",댓글 4
165,로맨틱,상큼하게 화사하게,21.08.18,"조회 1,846",댓글 4
166,캐주얼,블랙으로 완성,21.05.17,"조회 3,670",댓글 4
167,캐주얼,추천 캠퍼스 코디,22.08.25,"조회 15,280",댓글 4
168,캐주얼,봄 추천 룩!,21.03.04,"조회 19,951",댓글 4
169,아메카지,비니 스타일링,21.07.22,"조회 5,591",댓글 4
170,스트릿,조거 팬츠가 대세,20.10.29,"조회 28,533",댓글 4
171,캐주얼,백팩이 포인트!,21.07.28,"조회 4,583",댓글 4
172,캐주얼,프린팅 포인트,21.05.14,"조회 4,386",댓글 4
173,캐주얼,어울리는 조합,21.07.02,"조회 2,082",댓글 4
174,캐주얼,가볍게 입자,21.09.17,"조회 10,185",댓글 4
175,캐주얼,체크 아이템,21.05.24,"조회 7,529",댓글 4
176,캐주얼,꾸안꾸 무드,21.12.16,"조회 5,243",댓글 4
177,캐주얼,서머 캐주얼,21.05.28,"조회 3,858",댓글 4
178,캐주얼,여름 캐주얼 룩,21.05.28,"조회 10,597",댓글 4
179,걸리시,더플코트 코디,21.01.29,"조회 1,915",댓글 4
180,스트릿,조거 팬츠가 대세,20.10.29,"조회 28,533",댓글 4
181,걸리시,더플코트 코디,21.01.29,"조회 1,915",댓글 4
182,아메카지,벌룬 팬츠 활용법,21.06.15,"조회 3,448",댓글 4
183,캐주얼,지금 입기 좋아,22.04.14,"조회 6,231",댓글 4
184,캐주얼,꾸안꾸의 정석,22.11.16,"조회 2,074",댓글 4
185,아메카지,캐주얼의 정석,21.07.02,"조회 5,414",댓글 4
186,캐주얼,어울리는 조합,21.07.02,"조회 2,082",댓글 4
187,캐주얼,블랙으로 완성,21.05.17,"조회 3,670",댓글 4
188,캐주얼,추천 캠퍼스 코디,22.08.25,"조회 15,280",댓글 4
189,걸리시,패턴 활용법,21.03.22,"조회 1,965",댓글 3
190,캐주얼,레이어드 연출법,21.07.01,"조회 2,733",댓글 3
191,캐주얼,옐로 컬러 포인트,21.03.18,"조회 4,597",댓글 3
192,캐주얼,눈에 띄는 디테일,20.11.05,"조회 3,340",댓글 3
193,스트릿,시크한 매력,21.02.26,"조회 2,149",댓글 3
194,캐주얼,블루 포인트,21.07.09,"조회 7,492",댓글 3
195,캐주얼,돋보이는 센스,21.07.12,"조회 1,083",댓글 3
196,캐주얼,톤온톤 좋아,21.03.09,"조회 6,022",댓글 3
197,캐주얼,베스트 더하기,21.07.01,"조회 3,821",댓글 3
198,캐주얼,추천 스타일링,21.07.02,"조회 5,136",댓글 3
199,캐주얼,가볍게 즐겨,21.07.02,"조회 2,805",댓글 3
200,캐주얼,체크체크해!,21.02.19,"조회 4,981",댓글 3
201,캐주얼,감각적 코디,21.07.02,"조회 4,777",댓글 3
202,댄디,올 블랙 멋,21.08.04,"조회 1,647",댓글 3
203,댄디,화사한 코디,21.07.15,"조회 2,527",댓글 3
204,캐주얼,봄 소풍 가는 날,21.03.17,"조회 3,636",댓글 3
205,아메카지,벌룬 팬츠로 완성,21.08.05,"조회 2,023",댓글 3
206,비즈니스캐주얼,트렌디한 느낌,21.07.02,"조회 3,447",댓글 3
207,로맨틱,화사한 데이트 룩,21.06.15,"조회 1,953",댓글 3
208,캐주얼,끌리는 뒤태,21.07.01,"조회 1,325",댓글 3
209,걸리시,심쿵 포인트,21.06.16,"조회 2,422",댓글 3
210,캐주얼,여름 셔츠 코디,21.06.22,"조회 4,495",댓글 3
211,캐주얼,편하게 꾸며,21.06.28,"조회 4,251",댓글 3
212,캐주얼,미니멀한 조합,21.06.25,"조회 3,029",댓글 3
213,비즈니스캐주얼,모노 톤 활용법,21.02.18,조회 849,댓글 3
214,걸리시,귀여운 스타일,21.07.14,"조회 2,681",댓글 3
215,로맨틱,옐로 활용법,21.03.17,조회 697,댓글 3
216,댄디,돋보이는 그래픽,21.02.26,"조회 5,525",댓글 3
217,캐주얼,디테일 가득!,21.07.02,"조회 4,710",댓글 3
218,아메카지,멋진 아메카지 룩,21.07.16,"조회 5,907",댓글 3
219,캐주얼,편안한 하루,21.03.02,"조회 20,510",댓글 3
220,캐주얼,상큼한 조합,21.07.09,"조회 4,538",댓글 3
221,로맨틱,데이트 가는 날,20.11.04,조회 916,댓글 3
222,로맨틱,분위기 있어 보여!,21.07.12,"조회 1,884",댓글 3
223,스포티,핑크로 발랄하게,21.07.28,"조회 2,648",댓글 3
224,캐주얼,봄 나들이 룩,21.03.22,"조회 6,068",댓글 3
225,스트릿,확실한 포인트,21.03.23,"조회 1,789",댓글 3
226,로맨틱,단아한 무드,21.03.17,"조회 1,483",댓글 3
227,캐주얼,빈티지 무드,20.11.02,"조회 6,941",댓글 3
228,걸리시,산뜻한 조합,21.06.25,"조회 2,413",댓글 3
229,댄디,멋짐의 비결,21.07.01,"조회 1,569",댓글 3
230,걸리시,프레피 룩의 정석,20.11.02,"조회 3,441",댓글 3
231,캐주얼,캠퍼스 룩 추천,21.06.24,"조회 2,042",댓글 3
232,캐주얼,원 마일 웨어,21.02.24,"조회 2,678",댓글 3
233,캐주얼,깜찍한 포인트,21.07.13,"조회 2,362",댓글 3
